Date_reported,New_cases
2021-02-18,6237
2021-02-19,6531
2021-02-20,6295
2021-02-21,4489
2021-02-22,3206
2021-02-23,4182
2021-02-24,5850
2021-02-25,8147
2021-02-26,8003
2021-02-27,8172
2021-02-28,5833
2021-03-01,4285
2021-03-02,5336
2021-03-03,7235
2021-03-04,10057
2021-03-05,10155
2021-03-06,9144
2021-03-07,7167
2021-03-08,5572
2021-03-09,3261
2021-03-10,6377
2021-03-11,9084
2021-03-12,12946
2021-03-13,13276
2021-03-14,9012
2021-03-15,6792
2021-03-16,9642
2021-03-17,11833
2021-03-18,15053
2021-03-19,15850
2021-03-20,15292
2021-03-21,11145
2021-03-22,7893
2021-03-23,11476
2021-03-24,14174
2021-03-25,16669
2021-03-26,18132
2021-03-27,17424
2021-03-28,11932
2021-03-29,8346
2021-03-30,10533
2021-03-31,11226
2021-04-01,17569
2021-04-02,19893
2021-04-03,20341
2021-04-04,13738
2021-04-05,10179
2021-04-06,13276
2021-04-07,15415
2021-04-08,19419
2021-04-09,19676
2021-04-10,17463
2021-04-11,12112
2021-04-12,7856
2021-04-13,11680
2021-04-14,14553
2021-04-15,16427
2021-04-16,17479
2021-04-17,14984
2021-04-18,10282
2021-04-19,6506
2021-04-20,8940
2021-04-21,12162
2021-04-22,16235
2021-04-23,14277
2021-04-24,12711
2021-04-25,7930
2021-04-26,5062
2021-04-27,7915
2021-04-28,9590
2021-04-29,11627
2021-04-30,10072
2021-05-01,8549
2021-05-02,5094
2021-05-03,2758
2021-05-04,2472
2021-05-05,2576
2021-05-06,6038
2021-05-07,8404
2021-05-08,8710
2021-05-09,5372
2021-05-10,2817
2021-05-11,2208
2021-05-12,4538
2021-05-13,6813
2021-05-14,7562
2021-05-15,6796
2021-05-16,3620
2021-05-17,2136
2021-05-18,4095
2021-05-19,5138
2021-05-20,5165
2021-05-21,4984
2021-05-22,4606
2021-05-23,2533
2021-05-24,1334
2021-05-25,2608
2021-05-26,3395
2021-05-27,3509
2021-05-28,3306
2021-05-29,3096
2021-05-30,1703
2021-05-31,1022
2021-06-01,2137
2021-06-02,2205
2021-06-03,2581
2021-06-04,2266
2021-06-05,1897
2021-06-06,937
2021-06-07,535
2021-06-08,1602
2021-06-09,1385
2021-06-10,1785
2021-06-11,1603
2021-06-12,1274
2021-06-13,857
2021-06-14,420
2021-06-15,1014
2021-06-16,1045
2021-06-17,1188
2021-06-18,967
2021-06-19,852
2021-06-20,479
2021-06-21,323
2021-06-22,296
2021-06-23,835
2021-06-24,937
2021-06-25,876
2021-06-26,756
2021-06-27,450
2021-06-28,285
2021-06-29,182
2021-06-30,633
2021-07-01,705
2021-07-02,696
2021-07-03,705
2021-07-04,377
2021-07-05,244
2021-07-06,541
2021-07-07,610
2021-07-08,617
2021-07-09,655
2021-07-10,507
2021-07-11,290
2021-07-12,174
2021-07-13,481
2021-07-14,547
2021-07-15,623
2021-07-16,737
2021-07-17,591
2021-07-18,299
2021-07-19,182
2021-07-20,598
2021-07-21,655
2021-07-22,726
2021-07-23,763
2021-07-24,745
2021-07-25,286
2021-07-26,213
2021-07-27,681
2021-07-28,717
2021-07-29,846
2021-07-30,962
2021-07-31,916
2021-08-01,484
2021-08-02,265
2021-08-03,827
2021-08-04,984
2021-08-05,1052
2021-08-06,1081
2021-08-07,1054
2021-08-08,619
2021-08-09,300
2021-08-10,781
2021-08-11,1122
2021-08-12,1247
2021-08-13,1263
2021-08-14,1353
2021-08-15,695
2021-08-16,417
2021-08-17,890
2021-08-18,1447
2021-08-19,1560
2021-08-20,1600
2021-08-21,1732
2021-08-22,1003
2021-08-23,610
2021-08-24,692
2021-08-25,727
2021-08-26,1581
2021-08-27,2032
2021-08-28,2082
2021-08-29,1906
2021-08-30,749
2021-08-31,1356
2021-09-01,2075
2021-09-02,2477
2021-09-03,2693
2021-09-04,2614
2021-09-05,1379
2021-09-06,773
2021-09-07,2197
2021-09-08,2772
2021-09-09,3663
2021-09-10,3615
2021-09-11,3869
2021-09-12,2196
2021-09-13,1205
2021-09-14,3332
